NodeID,Vendor,Location,IOSVersion,SystemUpTime,ResponseTime,PercentLoss,AvgResponseTime,MinResponseTime,MaxResponseTime,CPUCount,CPULoad,MemoryUsed,MemoryAvailable,PercentMemoryUsed,PercentMemoryAvailable,MachineType,IsServer,TotalMemory,SumTriggers
1336,Windows,AUS,"6.2 (Build 9200 Multiprocessor Free)",436445,0,0,0,0,0,32,4,8203714560,1.291687E+11,5,95,"Windows 2012 Server",True,1.373724E+11,168
12,Windows,,"6.1 (Build 7601 Multiprocessor Free)",969933.0625,1,0,0,0,1,8,-2,-2,0,-2,,"Windows 2008 R2 Server",True,-2,32
1117,Windows,AUS,"6.3 (Build 9600 Multiprocessor Free)",955117,0,0,0,0,3,24,1,5260943360,6.344499E+10,7,93,"Windows 2012 R2 Server",True,6.870593E+10,185
1374,Windows,,"6.1 (Build 7601 Multiprocessor Free)",954804.9375,0,0,0,0,3,2,-2,-2,0,-2,,"Windows 2008 R2 Server",True,-2,304
1376,Windows,,"6.1 (Build 7601 Multiprocessor Free)",32227466,0,0,0,0,1,4,-2,-2,0,-2,,"Windows 2008 R2 Server",True,-2,317
1343,Cisco,"AUS-DEV - Network","15.1(2)SY10 RELEASE SOFTWARE (fc4)",18516320,0,0,5,0,51,9,4,559009728,1.224559E+09,31,69,"Catalyst 65xx Virtual Switch",False,1.783569E+09,4465
1401,Windows,BRN,"6.3 (Build 9600 Multiprocessor Free)",30009208,0,0,0,0,1,24,20,38230880256,1.678613E+11,18,82,"Windows 2012 R2 Server",True,2.060922E+11,5761
1399,Windows,AUS,"6.3 (Build 9600 Multiprocessor Free)",971086,1,0,0,0,1,6,0,3706556416,4.882908E+09,43,57,"Windows 2012 R2 Server",True,8.589464E+09,304
1456,Windows,MAN,"6.3 (Build 9600 Multiprocessor Free)",2181735,250,0,240,215,260,24,0,9545830400,5.910713E+10,13,87,"Windows 2012 R2 Server",True,6.865296E+10,1167
1465,Windows,KRA,"6.3 (Build 9600 Multiprocessor Free)",1612036,33,0,33,33,34,24,7,21544431616,4.707475E+10,31,69,"Windows 2012 R2 Server",True,6.861918E+10,60
1476,Windows,AUS,"6.3 (Build 9600 Multiprocessor Free)",968497,0,0,0,0,2,4,3,7381671936,1.207792E+09,85,15,"Windows 2012 R2 Server",True,8.589464E+09,14613
1478,net-snmp,Unknown,,198180.125,0,0,1,0,7,4,7,11945422848,4.872507E+09,71,29,"net-snmp - Linux",True,1.681793E+10,445
1479,net-snmp,Unknown,,6408076,46,0,50,46,57,6,3,10590314496,1.02856E+10,50,50,"net-snmp - Linux",True,2.087591E+10,523
1477,Windows,AUS,"6.3 (Build 9600 Multiprocessor Free)",970759,1,0,0,0,2,8,7,4401860608,8.482569E+09,34,66,"Windows 2012 R2 Server",True,1.288443E+10,325
1489,Windows,BRN,"6.3 (Build 9600 Multiprocessor Free)",1607992,0,0,0,0,0,8,14,2496593920,6.611857E+10,3,97,"Windows 2012 R2 Server",True,6.861516E+10,37
1493,Windows,AUS,"6.3 (Build 9600 Multiprocessor Free)",954385,0,0,0,0,0,24,9,250486734848,2.432487E+10,91,9,"Windows 2012 R2 Server",True,2.748116E+11,3065
1580,Windows,BRN,"10.0 (Build 14393 Multiprocessor Free)",1603366,0,0,0,0,1,32,4,33837043712,3.478423E+10,49,51,"Windows 2016 Server",True,6.862127E+10,602
1525,net-snmp,Unknown,,5134076.5,33,0,33,33,35,4,2,8653631488,3.945808E+09,68,32,"net-snmp - Linux",True,1.259944E+10,411
1581,Windows,BRN,"6.3 (Build 9600 Multiprocessor Free)",1584364,0,0,0,0,1,24,9,26124779520,4.252814E+10,38,62,"Windows 2012 R2 Server",True,6.865292E+10,6493
986,Windows,,"6.3 (Build 9600 Multiprocessor Free)",3106737.75,1,0,0,0,2,6,0,14670364672,2.508975E+09,85,15,"Windows 2012 R2 Server",True,1.717934E+10,174
1530,net-snmp,Unknown,,1306947.5,0,0,0,0,5,2,2,3439312896,7.047001E+08,82,18,"net-snmp - Linux",True,4.144013E+09,1213
1652,Windows,AUS,"10.0 (Build 14393 Multiprocessor Free)",966137,0,0,0,0,2,4,0,2950062080,9.934368E+09,22,78,"Windows 2016 Server",True,1.288443E+10,831
1672,Windows,,"6.3 (Build 9600 Multiprocessor Free)",769285.75,1,0,0,0,2,2,0,1879113728,2.415329E+09,43,57,"Windows 2012 R2 Server",True,4.294443E+09,203
1577,Windows,OTT,"6.3 (Build 9600 Multiprocessor Free)",957533,46,0,50,46,57,24,4,6658183168,6.199474E+10,9,91,"Windows 2012 R2 Server",True,6.865292E+10,5813
1671,net-snmp,Unknown,,1230603.25,0,0,0,0,1,8,19,10402570240,2.333478E+10,30,70,"net-snmp - Linux",True,3.373735E+10,6869
1684,Windows,AUS,"6.3 (Build 9600 Multiprocessor Free)",969261,0,0,0,0,1,24,12,28416720896,4.020246E+10,41,59,"Windows 2012 R2 Server",True,6.861918E+10,861
1698,Windows,AUS,,965015,0,0,0,0,1,32,0,125597065216,1.492142E+11,45,55,"Hyper-V Server",False,2.748113E+11,697
1732,Windows,MAN,,1050941,261,0,241,215,261,24,0,217924567040,5.685513E+10,79,21,"Hyper-V Server",False,2.747797E+11,477
1701,Windows,AUS,,964068,0,0,0,0,2,32,1,228536516608,4.627479E+10,83,17,"Hyper-V Server",False,2.748113E+11,1090
1697,Windows,AUS,,976601,0,0,0,0,1,24,1,198551175168,7.626022E+10,72,28,"Hyper-V Server",False,2.748114E+11,6942
1706,Windows,BRN,,1055858,0,0,0,0,0,24,0,43710349312,1.623815E+11,21,79,"Hyper-V Server",False,2.060919E+11,763
1692,Windows,AUS,,8829182,2,0,0,0,2,24,0,162033008640,1.127783E+11,58,42,"Hyper-V Server",False,2.748113E+11,1254
1747,Windows,AUS,,975886,0,0,0,0,0,24,0,155660107776,1.191513E+11,56,44,"Hyper-V Server",False,2.748114E+11,2499
